============================================================
戸塚宏 発言記録集（圧縮版）
令和ヨットスクール YouTubeチャンネルより
============================================================

--- 動画: Hiroshi Totsuka talks about proper child-rearing [Men and Women] [Parents] ---
[00:00] えっとね、あの幼児から、ま、入用児から
[00:04] 幼児、その辺まで見とる。そうすると
[00:07] 入用児の時は女の方が断然強いよね。男は
[00:12] ダメだ。それがあるから男は強くなら
[00:15] なくっちゃうと思うんだね。しばらく用事
[00:17] になってくると男の方が強くなってくるん
[00:20] だ。で、それを見取ると女の子は女の子
[00:24] らしくなるわな。だから男の世界を作って
[00:28] やる。男の世界を作ってやるとそこにいる
[00:31] 女の子が女らしくなるんや。それを今日本
[00:34] 見て女の世界を必死だって作っとるじゃん
[00:37] 。あのバカマスコミね。あいつは自分たち
[00:40] の商売のためだ。マスコミのお客さんは女
[00:43] やもんね。だから女の機嫌を取るような
[00:45] ことばっかりやっとるんよ。その当然の
[00:48] 結果として男を否定する。男はダメだと
[00:51] いう風に否定する。その中で暮らしとる
[00:54] 子供はどうなる?否定されっぱなしやから
[00:57] な。男はダメだと思っちまう。自分が大人
[01:00] になって子供ができてその子供を育てる時
[01:03] にやっぱり同じように育っちまうわな。男
[01:06] はダめ。女は優れているということで子供
[01:09] は不安になる。男の仕事は愛という言葉に
[01:14] 表されるけども愛だ愛だって叫ぶやに限っ
[01:17] て愛とは何か知らんよね。何度も都合が
[01:21] 悪くなると愛だからつってごまかして
[01:24] しまう
[01:25] 。愛の定義をせずに愛こそ全てと言って
[01:30] 言われた方はなんかようわからん。あ、
[01:33] おそらくこれが愛だろうと思われるような
[01:36] ことをそれが最高なんだ。全てなんだと
[01:39] 本人たちが思い込んじまって女にとっては
[01:42] 非常に都合が良かったんだ。子供は
[01:45] 甘やかしてもええんよね。愛なんだから。
[01:47] だけど子供を甘やかすのは愛かな。あれは
[01:51] ね、女にとっては愛かもしれんだけど、男
[01:54] にとっては愛じゃないよ。子供を甘やかす
[01:57] のか。それがわからんとね。そこで
[02:00] お父さんが出てくるんじゃ。で、お父さん
[02:02] の愛で子供を座っていうね、こういうね、
[02:06] 考えとこら。お父さんがいて、お母さんが
[02:08] いて、まだ小さい子供が1人いて、その子
[02:12] がま、やんちゃなりわがままなり、
[02:15] わがままに育っちまって言うこと聞か
[02:18] 生意きなことばっかり言う。お父さんが
[02:20] 止まりかねてペーンって引っちまうと子供
[02:23] がわーっと泣く。泣いたらお母さんが慌て
[02:26] て飛んできてその子供取っ
[02:28] てかわいそうかわいそう。お父さんに文句
[02:30] 言うね。これはお父さんは本能的に子供の
[02:35] 将来を心配したんだ。こんなことじゃ将来
[02:37] ダメになるだろう。だから直してやろうと
[02:40] して引っぱいたいんだね。これ将来を守る
[02:43] 。その子の将来を自分でちゃんと守らせる
[02:46] 。守る。これが愛だ。で、お母さんは今の
[02:49] 心配したんや。だから、今に対する、今を
[02:53] 守る、今に対する愛。これがお母さんな、
[02:57] 女なん。だから教育のような将来に対する
[03:01] 目的を持っとるもの、戦略的目的を持っ
[03:05] とるものは男がやらなくっちゃ。女の本能

--- 動画: [PE] Things you hate ---
[00:00] 地区と徳育のお話を伺ったので次は体育に
[00:03] ついてお願いし
[00:05] ます体育とスポーツは違う目的が違うん
